Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,28284089,29347708,30560034,31622704,32792523,33831764,34700612,35688935,36743039,37856121
"Population, total",SP.POP.TOTL,Albania,ALB,2913021,2905195,2860708,2816902,2773767,2731293,2689469,2648285,2607733,2567801
"Population, total",SP.POP.TOTL,Algeria,DZA,36188236,36903376,37646166,38414171,39205031,40019529,40850721,41689299,42505035,43294546
"Population, total",SP.POP.TOTL,American Samoa,ASM,55228,54895,54489,54006,53466,52878,52245,51586,50908,50209
"Population, total",SP.POP.TOTL,Andorra,AND,80706,77783,76834,75194,73737,72174,72181,73763,75162,76474
"Population, total",SP.POP.TOTL,Angola,AGO,23294825,24218352,25177394,26165620,27160769,28157798,29183070,30234839,31297155,32375632
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,85320,86332,87260,88064,88765,89409,89969,90468,90926,91364
"Population, total",SP.POP.TOTL,Argentina,ARG,41288694,41730660,42161721,42582455,43024071,43477012,43900313,44288894,44654882,44973465
"Population, total",SP.POP.TOTL,Armenia,ARM,3044800,3027900,3024100,3022000,3013800,3004600,2992300,2979400,2969000,2962500
"Population, total",SP.POP.TOTL,Aruba,ABW,101838,102591,104110,105675,106807,107906,108727,108735,108908,109203
"Population, total",SP.POP.TOTL,Australia,AUS,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24592588,24963258,25334826
"Population, total",SP.POP.TOTL,Austria,AUT,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,367478,371729,375469,378953,382298,385346,388055,390485,392717,394675
"Population, total",SP.POP.TOTL,Bahrain,BHR,1228543,1195020,1208964,1253191,1314562,1370322,1423726,1501116,1503091,1483756
"Population, total",SP.POP.TOTL,Bangladesh,BGD,152201981,153591076,155070101,156532141,157964929,159383179,160811932,162186147,163523103,164913055
"Population, total",SP.POP.TOTL,Barbados,BRB,275243,276139,276938,277665,278348,278990,279598,280171,280711,281207
"Population, total",SP.POP.TOTL,Belarus,BLR,9483836,9461643,9446836,9443211,9448515,9461076,9469379,9458989,9438785,9419758
